"id";"key";"filename";"content_type";"metadata";"byte_size";"checksum";"created_at"
1;"tJwvp5DdN4GWsjVayB7U7twj";"Rollende Liegestützen mit Kurzhanteln.mp4";"video/mp4";"{""identified"":true,""analyzed"":true}";4551549;"9LUo8igcxR5FQwptF9WKdg==";"2020-02-20 01:12:10"
3;"g7jQMB9XyzfKXv14R6WLSq5v";"Kurzhanteldrücken.mp4";"video/mp4";"{""identified"":true,""analyzed"":true}";160387;"mlVf6fegHzX1EHP7eW1ulQ==";"2020-02-20 01:23:59"
4;"U5QfSwEnumLk2ciZXs8PjuRe";"Fliegende Bewegung mit Kurzhanteln.mp4";"video/mp4";"{""identified"":true,""analyzed"":true}";159377;"bWx18dte7F0jC0NIiW38Gg==";"2020-02-20 01:24:30"
5;"JkVMHAvpy5BxhG1mvQ31ThxP";"Liegestütz auf dem Boden.mp4";"video/mp4";"{""identified"":true,""analyzed"":true}";130989;"OoPNjnx0lonM1Zzx8UGH1A==";"2020-02-20 01:24:49"
6;"UjG6GoX5dwWLD3UNG7sihsAH";"Überzüge mit der Kurzhantel.mp4";"video/mp4";"{""identified"":true,""analyzed"":true}";138320;"cJFoXxmp4rPP5uyRz2N8lA==";"2020-02-20 01:25:02"
7;"X1taXjxjkVnJEAz4Rj4m8mMd";"Kurzhantelfrontdrücken.mp4";"video/mp4";"{""identified"":true,""analyzed"":true}";121485;"WMkuM3xH2v/0RRo9TI9QNw==";"2020-02-20 01:27:45"
8;"VGBCui8D14P1amjYBzLWHBNU";"Kopfstrecken im Liegen.mp4";"video/mp4";"{""identified"":true,""analyzed"":true}";134812;"TD4y+7oNQErN3z4PVfKnfw==";"2020-02-20 01:31:25"
10;"EQJCUhqws5UA4xZgdBkCVMue";"Aussenrotation im liegen.mp4";"video/mp4";"{""identified"":true,""analyzed"":true}";127956;"912bG1dkOF/mH5ofyJOkBg==";"2020-02-20 02:02:33"
11;"uum6CmGvd9C8R7FD6CGEyMtB";"Kurzhantelheben vor dem Körper in Seitenlage.mp4";"video/mp4";"{""identified"":true,""analyzed"":true}";106536;"2MBSFWOnYfPHZHE+vcnnOA==";"2020-02-26 15:12:40"
12;"BgvL8yQy6TaWvtqrJ82ahQ3o";"Burpees.mp4";"video/mp4";"{""identified"":true,""analyzed"":true}";50273;"NgDijgKLWpd8QYzRQS7pug==";"2020-02-27 23:22:53"
13;"VsJtg1e4DoeGA7w4Wu8Q9a4Q";"Bankdrücken3.mp4";"video/mp4";"{""identified"":true,""analyzed"":true}";161289;"2XDJ5Q5G+eQ4dq5lY52sGQ==";"2020-03-17 09:15:46"
14;"ykLQ1it7YTjMdH8L8VsSP9Eo";"Kurzhantelfrontdrücken.mp4";"video/mp4";"{""identified"":true,""analyzed"":true}";121485;"WMkuM3xH2v/0RRo9TI9QNw==";"2020-05-06 21:44:13"
15;"6gd98GhRhQgrpfGrtPhSNVmC";"Fliegende Bewegung mit Kurzhanteln.mp4";"video/mp4";"{""identified"":true,""analyzed"":true}";159377;"bWx18dte7F0jC0NIiW38Gg==";"2020-06-09 14:03:24"
24;"xJ47tncoqEfdLa3UaJJ2Tgi9";"Fliegende Bewegung mit Kurzhanteln.mp4";"video/mp4";"{""identified"":true,""analyzed"":true}";159377;"bWx18dte7F0jC0NIiW38Gg==";"2020-06-10 23:27:35"
25;"uvXEzvAuh1JWaHmqbvKFDTeb";"user_2_video_1.mp4";"video/mp4";"{""identified"":true,""analyzed"":true}";2819267;"jBYDxi3ToedQEMII3SfdnQ==";"2020-06-11 20:48:02"
26;"oWKmfG8EnW2GuHyUrmZk99XH";"Bankdrücken2.mp4";"video/mp4";"{""identified"":true,""analyzed"":true}";2316872;"vqGYRASifMWrQnoGbkx0HA==";"2020-06-12 00:12:43"
